art,category,domain
Singing,music,performance
Instrument_playing,music,performance
Dancing,music,performance
Drama,performance,storytelling
Painting,visual,art
Body_decoration,visual,ritual
Flower_arrangement,visual,ritual
Jewelry_making,craft,ornament
Bed_arrangement,craft,household
Water_music,play,leisure
Water_splashing,play,leisure
Picture_puzzles,game,intellect
Garland_making,craft,ritual
Hair_arrangement,craft,ornament
Costume_design,craft,visual
Perfume_mixing,craft,ritual
Magic_tricks,entertainment,play
Storytelling,performance,literature
Poetry,literature,art
Improvisation,literature,art
Memory_training,intellect,discipline
Debate,intellect,philosophy
Architecture,craft,structure
Temple_design,craft,sacred_space
Metal_work,craft,tools
Carpentry,craft,structure
Pottery,craft,household
Weaving,craft,textile
Embroidery,craft,textile
Cooking,household,sustenance
Brewing,household,sustenance
Agriculture,earth,food
Gardening,earth,ritual
Animal_training,earth,care
Horse_training,earth,travel
Elephant_training,earth,royal
Archery,war,skill
Swordsmanship,war,skill
Strategy,war,intellect
Yoga,body,spiritual
Meditation,body,spiritual
Breath_control,body,spiritual
Mantra_recitation,sound,spiritual
Ritual_fire,ritual,sacred
Astrology,cosmology,science
Mathematics,intellect,science
Geometry,intellect,science
Medicine,healing,science
Herbalism,healing,science
Massage,healing,body
Marma_knowledge,healing,body
Music_theory,music,science
Rhythm_study,music,science
Dance_theory,music,science
Drama_theory,performance,science
Logic,intellect,philosophy
Ethics,intellect,philosophy
Statecraft,intellect,governance
Navigation,earth,travel
Cartography,earth,travel
Animal_husbandry,earth,care
Gemology,craft,ornament
