from_id,relation,to_id,source_title,source_locator,excerpt,tradition,confidence,notes
nakshatra:1,nakshatra_associated_deity,,,,,,seed_unverified,TODO: fill deity + evidence
nakshatra:2,nakshatra_associated_deity,,,,,,seed_unverified,TODO: fill deity + evidence
nakshatra:3,nakshatra_associated_deity,,,,,,seed_unverified,TODO: fill deity + evidence
nakshatra:4,nakshatra_associated_deity,,,,,,seed_unverified,TODO: fill deity + evidence
nakshatra:5,nakshatra_associated_deity,,,,,,seed_unverified,TODO: fill deity + evidence
nakshatra:6,nakshatra_associated_deity,,,,,,seed_unverified,TODO: fill deity + evidence
nakshatra:7,nakshatra_associated_deity,,,,,,seed_unverified,TODO: fill deity + evidence
nakshatra:8,nakshatra_associated_deity,,,,,,seed_unverified,TODO: fill deity + evidence
nakshatra:9,nakshatra_associated_deity,,,,,,seed_unverified,TODO: fill deity + evidence
nakshatra:10,nakshatra_associated_deity,,,,,,seed_unverified,TODO: fill deity + evidence
nakshatra:11,nakshatra_associated_deity,,,,,,seed_unverified,TODO: fill deity + evidence
nakshatra:12,nakshatra_associated_deity,,,,,,seed_unverified,TODO: fill deity + evidence
nakshatra:13,nakshatra_associated_deity,,,,,,seed_unverified,TODO: fill deity + evidence
nakshatra:14,nakshatra_associated_deity,,,,,,seed_unverified,TODO: fill deity + evidence
nakshatra:15,nakshatra_associated_deity,,,,,,seed_unverified,TODO: fill deity + evidence
nakshatra:16,nakshatra_associated_deity,,,,,,seed_unverified,TODO: fill deity + evidence
nakshatra:17,nakshatra_associated_deity,,,,,,seed_unverified,TODO: fill deity + evidence
nakshatra:18,nakshatra_associated_deity,,,,,,seed_unverified,TODO: fill deity + evidence
nakshatra:19,nakshatra_associated_deity,,,,,,seed_unverified,TODO: fill deity + evidence
nakshatra:20,nakshatra_associated_deity,,,,,,seed_unverified,TODO: fill deity + evidence
nakshatra:21,nakshatra_associated_deity,,,,,,seed_unverified,TODO: fill deity + evidence
nakshatra:22,nakshatra_associated_deity,,,,,,seed_unverified,TODO: fill deity + evidence
nakshatra:23,nakshatra_associated_deity,,,,,,seed_unverified,TODO: fill deity + evidence
nakshatra:24,nakshatra_associated_deity,,,,,,seed_unverified,TODO: fill deity + evidence
nakshatra:25,nakshatra_associated_deity,,,,,,seed_unverified,TODO: fill deity + evidence
nakshatra:26,nakshatra_associated_deity,,,,,,seed_unverified,TODO: fill deity + evidence
nakshatra:27,nakshatra_associated_deity,,,,,,seed_unverified,TODO: fill deity + evidence
