stable_id,english_name,sanskrit_devanagari,sanskrit_iast,category
VA01,singing,गीतम्,gītam,music
VA02,instrumental_music,वाद्यम्,vādyam,music
VA03,dancing,नृत्यम्,nṛtyam,performance
VA04,dramatic_performance,नाट्यम्,nāṭyam,performance
VA05,painting,आलेख्यम्,ālekhyam,visual_art
VA06,body_decoration,विशेषकच्छेद्यम्,viśeṣaka-cchedyam,cosmetic_art
VA07,rice_flour_and_flower_designs,तण्डुलकुसुमबलिविकाराः,taṇḍula-kusuma-bali-vikārāḥ,ritual_art
VA08,flower_arranging,पुष्पास्तरणम्,puṣpāstaraṇam,decorative_art
VA09,body_and_garment_coloring,दशनवसनाङ्गरागः,daśana-vasanāṅga-rāgaḥ,cosmetic_art
VA10,gem_inlay_work,मणिभूमिकाकर्म,maṇi-bhūmikā-karma,craft
VA11,bed_preparation,शयनरचना,śayana-racanā,domestic_art
VA12,water_music,उदकवाद्यम्,udaka-vādyam,music
VA13,water_sport,उदकघातः,udaka-ghātaḥ,play
VA14,garland_making,माल्यग्रथनविकल्पाः,mālya-grathana-vikalpāḥ,craft
VA15,flower_crown_design,शेखरापीडयोजनम्,śekharāpīḍa-yojanam,craft
VA16,costume_and_stage_design,नेपथ्ययोगाः,nepathya-yogāḥ,performance
VA17,ear_ornament_craft,कर्णपत्रभङ्गाः,karṇapatrabhaṅgāḥ,craft
VA18,perfume_making,गन्धानां युक्तिः,gandhānāṃ yuktiḥ,alchemy
VA19,jewelry_design,भूषणयोजनम्,bhūṣaṇa-yojanam,craft
VA20,magic_and_illusion,ऐन्द्रजालम्,aindrajālam,illusion
VA21,manual_skill_and_handicraft,कौशलम्,kauśalam,craft
VA22,cooking,पाकशास्त्रम्,pākaśāstram,domestic_art
VA23,beverage_preparation,पानकसंयोगः,pānakasaṃyogaḥ,domestic_art
VA24,needlework,सूचिवायनम्,sūcivāyanam,craft
VA25,weaving,तन्तुवायनम्,tantuvāyanam,craft
VA26,riddle_making,प्रहेलिका,prahelikā,intellectual
VA27,poetic_problem_solving,काव्यसमस्या,kāvyasamasyā,intellectual
VA28,letter_and_symbol_play,अक्षरमुष्टिका,akṣaramuṣṭikā,intellectual
VA29,manuscript_reading,पुस्तकवाचनम्,pustakavācanam,intellectual
VA30,storytelling,आख्यायिका,ākhyāyikā,performance
VA31,architecture,वास्तुशास्त्रम्,vāstuśāstram,science
VA32,mechanics_and_devices,यन्त्रज्ञानम्,yantrajñānam,engineering
